User,Events
3044012,2529072432
4236494,152418051 799782433
5574997,941853303
7547671,1228445722
10329108,40254649
13301498,907302600 3950787980
14411090,1073827062 753115138
15469418,3234409400
16210231,4197279783 821546192
19283444,3789409122
20041353,813808366
23150045,735593165
23170479,813650546 1532377761 2529072432 3632072502 2776357538 1600413013 955398943
24978365,2624370380
26389537,1532377761 1600413013 1044854627
29002074,965748273
33930603,156494494
33966018,2608593001
35629376,2828969498
38974975,2529072432 955398943
38985694,3028393247 297891426
41934198,2367196896
43026617,4203627753
45139176,1488068589
45148230,3459643094
47659843,1269035551
50457238,910169576
51165908,602394192 1294433853 955398943
57075229,2717795664 1820037082
61814256,3731945988
65801702,4135207140 3781958177 2057068023
66260844,2237079226 2980258101
67249956,4125420656
69302861,2800586555
70152834,844299203 1532377761 2529072432
70585535,1566556513
71688472,2841665850 2110243278 3084061084
72298333,952519340
73288922,3413747696
78065188,2913407142
80379054,3850950041
81458678,969179478
82610705,2940654356 2913407142
82923911,1488068589
85640691,4224194427
88554519,2893363609
91139927,2039358442
92410554,714391510
95170590,1690420493 1532377761 2529072432
96542289,3080242563 3841696821 3129233779 1813185314 1893384353 779179812 3418426127 802414638 2321729704 4278185210 2636152679
96931058,2045413792
97374877,3129504825
102981257,2460207561 2892792634
107783241,273094339
110310789,3378415880
111840914,1532377761 2529072432
120053518,3118974631 2529072432
121528378,897667289 130281276 1674888438
121856257,232587843
122826603,210121672 2357122965
123290209,1887085024 939818461
127904873,1600413013
128723876,642644408 3996872922 3275948662 1476388256
132341149,1844176380
135706634,966971643 4125420656
139210489,1485887263
140576550,681905393
143093592,705138890
147852768,3643346333 1128274822 2865762984 747845900
156079457,4181743367
156584666,2114371180
156603823,4244463632
158531231,719337372
160071273,3509100603
166685992,2429379784 1448086840
167200370,2379850649
168764910,2153037761
171842881,3632072502 797638314
174994783,2188393190
178517662,529900443 4267868521
180779799,42193426
183275855,2115491671
184140061,3793452317 3643004825
185422302,2219144892 1989853635
187910813,955398943
193158441,2418142030
193920233,2556887095
194257626,51230207
195973264,3388135408
197344023,3276213471 642644408 955398943
197704997,2427264930
199120737,959243663 2989906553
199379035,2529072432
203050907,1699663431 1610171038 3315486330 2529072432
203456139,2153037761 2746202243
204568422,2363782301
206173756,11608112
210296799,213754032 899234866
210626346,3028859957
217443195,311120320
220184636,1421267283
221442949,1033318499 2529072432 264366149 986099040 955398943
223870698,1488068589
236194065,1205670273
238446352,2764233627
240018991,2073609284
240521211,3123265999 990256291
242262473,2130616732
243893094,386229329 445012721
244644122,152418051
245442083,907302600
246547106,4252420545
247769793,1768663573 401945277 1336517851
248375618,2824024899
248805577,2498491194
249577815,1990647154 3802296711 1676394036
249918369,326664129
252627634,753115138
254306319,371746452
255311196,1455342959
256692717,2130616732
261990895,2270458671 745914541 125067550 3542075399 3320505228 4101549335
263599897,719337372
265142861,2901172638 1361358532 1564617242
265682801,2415873572 3634298859 1853948415 1310511988 2565498979
267902048,910169576
272165392,501560870
272886293,1390707377 2529072432 3655295959 2237504401 955398943
275264384,181219102 1306257783 3915796357 1341191313
279323206,3776957253
279699155,738179988
280410144,1600413013 3735036412
280995052,3361245766
282487230,3843341515 3207630269
282914818,1816813281
283716061,3849306291
286293491,3171704410
292322045,4140154751
292529766,3712732153
294167146,4041609284
296126900,955398943
296271448,342284187
299446963,952519340
304983697,1133385189 1241270051 2828912555
305160382,2428305873 1404500601
306153925,2477995738
306422496,1361307272 2529072432 955398943
307071731,1076364848
307271704,3498692897
309131167,955398943
310296684,154173769 635799819
310846555,126497153
314484928,2917794701
320000323,2963760335
321386359,645163767
322814221,4105510328
326930040,678242184 973619334
327414596,1361307272 2039358442 2529072432 2133183406
328922601,1262217378
331502829,2442660214
331982192,3776957253
333508463,1076364848
335269852,1205670273
336493147,1071371108 1173255704 100652122 2281874957
338395830,938161513
341641838,2539026679
344313409,2303466552
344906444,1600413013 2173952737
350964414,1749797086 3862634099
351313256,2490233992 460112184
351713549,1143203761
351801772,2101852818 3382118918
352769719,950733415 3276213471 955398943
354026608,3515877913
354974889,1997474791
358368837,1110231970 1699663431 3835917768 1769487166 3418415418
363257522,4089322861
363577443,355160690
364700925,3276213471 4098955585 1926323783
366365683,613942852 2843312746 2490258514
373631588,641950279
374464774,1228413502
374950100,1834446103 2606923091
377835263,2639332741
379327893,617227257 1105080022
381155306,1488068589
382550204,2036720107
383523902,1528500344
383587770,3509100603
384269001,2152454837
384932005,821546192
386145959,804483110 2715282469
392706219,1517264651
393035612,645128809
393817534,638892748
395305791,1785998532
395811323,1076364848
396929851,3613872232
397493741,1390707377
398134674,910169576
403467810,2498491194
411205694,2498491194
411622998,3440289078
413881487,2580858981
419456233,741936389 4198728308 3809972731 3096327312
419778061,2529072432
422002690,1850381877 3119357029 2588804869
423256429,243898074
427369081,750506418
427471768,771676713 2039358442
429489211,633659090
431015679,3934491209
436392678,1151525474
437050836,1346069916
439279583,3808625328 1506044723
439316726,4227005710
439507113,3288255289
441103517,4193610911 2529072432
441391794,1076364848
443655774,1134192019
443931185,2454980175 965748273
445442743,2936735895
447244169,2493324415 734267487 3176850745
447504709,612496662
451317840,1185540477
453809966,719337372
458097400,3034533222 1390983489 3651171375
458389001,1163018914 74074378
458848274,612496662
460608021,1835656053 4058319046 3853166763 3254529235 985580109 2018733266 997929928 2251754801 2742780288 1534769877
466698547,2762356638
467001379,3968107646
469837401,92434189
475620820,2052102737
476865227,488329448
479907067,1636589484
481236042,1047810173
483332100,3084168587 407288007
486162423,2130616732 2643833505 633659090
486871070,3480624055
486884397,1065552764 2748209109
488389895,1488068589
489170488,3345858125
491263047,3395117104 1000481836
491792092,4137553369 955398943
492612031,126225732
495379217,3611379821
496936219,952519340
499079668,327075228
500857618,889355158
507847098,2529072432
508282809,98978060
508837021,1045343006
515567373,3619266504
516110926,1342847040 416330287 2977586904 456705289 1304281836 2114371180 4153748211 2067723665 1943679456 2803416473 689023473
516353916,1076364848
516841937,3170422433
517270916,2962436572 3477624372
517357553,3582327628
522776668,2816742760 1371280659
527523423,1974374931
528218683,2498491194
528289771,2713053749 968459715 3670952162
528810329,2563575913
531662584,3403115736
531967718,1532377761 2529072432
532589341,639862177
533051511,952519340
535350558,3632072502
540360566,628621130
544449933,2529072432
545289514,926605391
547259551,3503491290
550625442,3344442885
551538117,2153037761
552316934,4198728308
555384690,53057326
555631167,1426337764
564641393,1332759137 2802832059
567534910,1757362667
567820539,2485000087 1342732412 1717235731
569536605,1639958590 2325542576 4253986436
569826712,2529072432
570405433,2321862754
571210795,4198728308
571415268,1782440994
576776993,3417435200 1204268586
580008340,952519340
581584739,1844176380
584188387,887203538 1726708048
588924229,3982727529 1426337764
589091561,2096532900
589199943,719337372
591781953,74229557
593799836,2695471827
596044827,347682208
599144899,1532377761
601094182,2589273566 3171398290
602317951,743289246
602551909,1076364848
603763318,639862177
604530209,771676713 1361307272 2529072432
605378672,2168006553
608310969,1532377761 955398943
608372256,2763790767
609331956,3538439402
609630180,328896398
610133863,2793371951 2153037761
612098420,2097449752
613604753,196335814
613747359,741936389 1332759137
614599699,4203627753
616227847,4198399270 1900273727
618927177,1640004842 2749997868
620032149,872036582 2259070037
627948360,955398943
630652349,1406344701
631446479,1206747600
635462786,613942852 3217775401
637505307,2824096896
639250885,2424637456
639409951,3277893314
641678389,2531947768
641836752,3868530854
642317092,45718516 4211366080 678132679
645414373,473346989
648931301,1190152428
649114603,1672084151 2476460170
651240040,1361307272 2529072432
651258472,2620915673
653909548,931943556 3831365201 3444116390 1602727924 3018072372
655721325,4181313745
659158929,1578063348
659447721,1669597962
659725808,2822187055 955398943
661151794,1326595643 3780075220 2268576153
661656054,3106536799 3630632197 527070251
666534021,3413747696
673356819,1914791953 4140154751
677048573,757019021 889355158
680402144,2935869426
681010476,1528500344 1597380017
681315287,3413747696
682721107,955398943
686015101,2345968214
686151443,3676836672
687313787,1488068589 1212947698 2415873572
689225317,559618821
689961313,4063842421
691831024,1902753965
694221975,1141864640
694709965,2518430453
699877746,202787484 1072889885
700438783,952519340 1076364848 268233790 2149464820
708073241,754337333
708262477,2142755647 955398943
709445936,581011119
712040216,1076364848
715159059,86502595
722675569,4208530995
723110955,102026311 1515297223
724483958,2311647821 1268441808
724978354,2415873572 1784460112 2249176184 2795929444 770278298
725162516,3842788897 1298679001
728332848,388117170
732078356,1468984003 2340895720 1805938462 2306874322
734292380,2806189562
736262792,843844488 1205670273
738324703,3677852886 162332756 3855652876 38825896
738525400,3110363670 1036106136
743008535,3461255917
743802819,3385943756
749467696,3022508755
754938428,4128714692
761616937,2643833505 2529072432 955398943
762911677,3658522039
763143562,2107263424
763694881,3776957253
765240064,3809205963
769376177,4166625784
770526360,516796945 1076364848
776020237,952519340
777634122,287440303
785251375,2264041858
786776836,681990144
792037916,2279381833 3830416827
793834125,955398943
793842953,2380928091 3914547760
794355051,2381844770
803166736,1076364848
803991005,859794757
809834239,1527128646
810608905,776070223 2113532094
811791433,1598694827
812299615,1205670273
814715283,1783683714
818241254,2608603914
825875823,221202458
826927178,3648914854 1600413013 2529072432 1517488130
830686203,2186351621 3595722243 3173523505
836256116,3005548418
836628838,834360181
840865386,1973916091 2998372996 546889678 378308819
842198355,559618821
843843832,1761619035
848363602,2030801280 3395117104
848730816,1228296357
853658665,661619801
863771353,633272737
866032649,1607266075 816912378 1229195202
869017322,1607711017
871177088,3480624055 1589137785
873272013,3404987729
875145825,1471140446
875823959,2224153099 3767960965 3035280807
876103013,3166241555 3619281406
880096064,3399301092
882525479,4194316975
883237232,2575303578
887085722,2529072432
891035674,4220792229
893322374,101017987
895925498,2130616732 2643833505
895967408,1010067902
898918449,3194641622
900679620,1816813281
900897870,3598553657 825378558
903486144,2614611034 1628041141
904520689,1313195291
905852095,714391510 1532377761 1390707377 1600413013 955398943
906981127,741936389
910947719,779051730 3272550779 807650421
912476748,2683913641 2790605371
913235409,955398943
914476369,1300718667
915098649,2498491194
916547437,2549322104 1270020700
917421982,1776393554
925172794,2828969498
931677473,700041279 3418014649
932543338,2223895704
934187073,876692516 4000643494 909491317
943483502,1972417022
947750317,2153037761
948275186,1672427463
959300591,3267347122
962338748,3851466541
964581027,2611696870
964607716,2398192028
965181412,2020714090
967361915,1810772954
967988763,2434532267
969572676,910169576
971079958,1191393757
973677184,256643979
980272932,1460884517 2848205164
981252249,1370289455
983894136,2802832059 1600413013
985245482,353933726
985547042,1902753965
986039272,2529072432 955398943
987701123,2844145532
988160405,1203717384 1816813281
988213942,907302600 2039358442 797638314
990116823,2020531758 3754239356
990496397,3838044081
995603012,3006255100
996222490,1437816019 290465119
1000293064,3429508261
1008893291,1356178708
1011223331,447738506
1016040879,1203717384 3103100779
1016099896,3499428374 4058829330
1017178142,3764710330 4243588081
1017536864,199858305 3499428374 3150441220 1699663431
1018886228,602394192 2610494844 2529072432 955398943
1023714879,3302719635
1023717643,1532377761 1390707377 955398943
1025593498,3965376459
1027250316,2824096896
1027766032,1611840162
1030441254,3698731704 2743813328 727714452 104607440
1037260580,3849306291
1038182690,3005193781
1038432983,3106649251 1145694713
1039126403,1076364848
1044078286,2529072432
1044598291,1203717384 3103100779 2149464820 1816813281
1047741032,3506737502
1048933817,910169576
1053832375,1600413013
1055981550,1076364848
1058920791,3353891431
1060557660,2870889809
1060747655,1180987071 2677849552
1061545438,2013513606
1063337028,1488068589 3273736995
1066906993,2922254733
1067164735,1944950450 2657070627 449812514 1094725860 73512801 1986487861 1701861494 3707599484 3213813029
1071319145,3601196821
1072041355,1731351853
1072368701,110357109
1073821707,861118590
1073831349,1462428678
1075126714,3986920873 1343107637 4013025273 1669604733 1456576726 866512763 633572331 3441655380 404584045 2091251917
1075375005,1243481310
1075504486,82114475 2153037761
1076497247,3427445292 2876154686
1079339663,2307226742 2611645010
1080002133,1087635781
1085794659,3637245518 889795193
1090447281,3413747696
1091746693,1096627389
1093568005,1675237338
1101021964,1600413013 955398943
1101602207,3277640596
1104038607,939765972
1104375072,1896349766
1107615001,3078061160 1896664975
1107746429,1370824124 1205670273
1108471961,2814929505
1109682681,2093319113 2782403445
1109825061,486982721
1109967945,1953216013
1114094430,3744997604
1115244043,3530385333 2175816510
1115249498,401976348 739705932 332209679 2571012976
1116289197,3984337495
1117272184,3487833744 4186433927 1146909088
1120323401,1109129592
1122537977,1177314523
1123244794,1844176380
1123831146,2790605371
1126868438,1170338316 1829799030
1127657981,1816813281
1130967213,2153037761
1131940169,952519340 1076364848
1132746796,2114371180 1267093350 2413506174
1143069903,2093319113 1652875579
1148170980,952519340
1150230846,1645204489 2895178379 603768826 3951957899
1150601139,96890078 1908645599 2718812266
1152125988,966971643 4125420656 1820029797
1155485546,1816813281 2498491194
1157924193,700247942
1159947871,3173314627
1160148526,2518909170
1160667975,3849306291 952519340
1164338332,2917794701
1166204486,622003251
1168909050,740269154 152418051 4125420656
1169783448,1205670273
1170938005,1180987071
1171363794,1521864785
1176550521,2130616732
1177603447,1341096506
1178274219,3980181155
1184737011,3920531792 1852872937
1184895977,815371089
1190190812,4244463632
1191714842,140441656
1195601618,2444024386
1197154185,3383063101
1210062900,2311007113 4058829330
1210853041,1356764145
1213367737,1737420203
1213744330,1955298811
1214006960,4273083332
1217122759,910169576
1221420614,2053952798 2278755941 899213418
1223566187,610652577 1556245473
1227446685,4028072926
1227484684,2643833505
1228133573,952519340
1230559341,861118590
1232503863,1076364848
1232677153,2129255857 601084101 1975461401 960296146 3549479498 1764411835 636474096 3141008702 2022854950
1233774081,955398943
1234792409,580186719 1294433853
1235578437,2746848613
1236336671,1076364848 1816813281
1239364869,2824096896
1240674478,2977770201
1258447015,1769089355
1264179509,228340462
1267593079,1589820024 2804749662
1268093476,1138326567
1269478831,4231641706
1275857085,1832462541
1280283349,19658160
1287353407,1068825763 2727714216 1064770050
1287850161,45718516 3335267883
1287950172,1269035551
1289434141,1650204537
1290399197,1080023839
1292184871,486447403
1292417817,1212947698
1295003824,3761092488
1296007357,2153037761
1296420014,1209358269 2009645483
1298546667,2115491671
1299595690,1600413013
1301544506,955398943
1301945337,1451401793 2498491194
1302145719,1205670273
1304321680,2529072432
1304554072,3045891165 2415319492
1308650192,1771863286
1309915074,3106649251 1711316424
1312400822,4013357208
1313492534,2452904679
1315208123,3938809089 3565166403 3875231517 522741694 955398943
1318722285,986099040
1320099877,13857128 3854862695
1328287907,2662063526
1328697582,553125617
1330656870,952519340
1336647234,2643833505 1935315082 2691609942 797638314
1339643555,2325542576
1342752171,2869725524
1342961341,97217712
1344492095,4144869932
1345896548,2643833505 907302600 633659090 2621503414 955398943
1349230619,2214787713
1349737346,3653847990
1350285710,524691289 1041499194 3066321838 1824709964
1353265512,1679839905 220262597
1353596523,3300948291
1354120181,1361307272
1354205322,2645301517 675426904
1356079140,152418051 1554701042
1358222118,1803275543 537992874
1358236584,1960358461
1368412107,2073609284
1369743769,176471937
1369905557,2766425759
1372630997,20381932
1372842685,1076364848
1374205441,4002798045 3681696850
1374956141,88377811 1421051391
1377253602,3735036412 2425916002
1377585598,2279531372
1386214900,2724377242
1386311924,3725816644 3179047450
1392332761,2691509364 872605952
1399383819,275352720
1404395751,955398943
1408344828,1255629030
1411780050,2338846344
1414301782,3466325304 2701433747
1418885681,2455869070 1868735086
1419064403,2846701379
1420338074,2529072432
1421630185,910169576
1422103142,2073609284
1426944148,3511745359 828951442
1427469971,753115138
1433939064,1532377761 955398943
1437617088,1076364848 2149464820
1440749616,1488068589 4198728308 3681999765
1444113850,2951987246
1452056386,1921897790 955398943
1452633375,1518229543
1459241748,2193156408
1462984861,1068825763
1463717359,2092805628
1463808662,1490050955
1467007408,735155031
1474775097,2529072432
1476956307,2459337942
1482478167,2442660214 2498491194
1484078818,146533907
1486339292,1037510327
1486465606,1076364848
1491636315,1036837546
1493407039,2977827251
1507405031,767550382
1507678209,2633128735
1515828822,4107748684
1518400220,706344711
1522287705,1389265162
1525918364,771676713 633659090 955398943
1528359455,955398943
1531339765,2485271797
1531475209,2973911742
1535643599,2828969498
1536104641,2863056708
1537885461,2341662452
1538685648,2529072432
1539256277,4259189014
1540298318,4125243964
1540524189,2529072432
1541564886,1076364848
1541756008,2930825326
1543396188,40254649
1543462230,2729245797
1544526064,1528500344
1548216840,544654350 318862099 4231267316 2595699357 3683968161 1997487607
1548590231,965748273
1551848670,3359668121
1553019839,4205554879 2770527444 3565166403 52246840 2096635407
1554993130,1699561506
1555879260,3901918595
1560565543,2073609284
1566021834,2294124221
1567057770,843570927 915403718 98978060 3477891691
1567970024,2153037761
1568770334,555916900
1571490313,2298346303
1572816023,36941495
1575376083,1269035551
1577437083,2145977549 3276213471 2841724568 955398943
1579613783,3413747696
1582474481,1488068589
1583577411,938329092
1583772039,86545292
1585175216,1439192677
1586029420,3968299824
1594431230,952519340 1816813281
1595465532,106978589
1597392855,704367100 1600524252 3943014604 1134365310
1598750229,1076364848
1601125543,1387775604
1610329121,1488068589 1065552764
1611204256,1426221214
1612038297,1003847016 490005260 2188977150 2361063319 3505444496
1614494381,3472930517
1615303306,1205670273
1615336827,2478100190
1615717851,625822979
1619040661,1448086840
1619453117,705007381
1620608449,1532377761
1622015724,2342980834 2344431772 3643004825
1622366272,1390707377
1625052108,4255445383 1559258260 1635377146 3969985283
1625116475,990256291 2757258727
1625530935,1813763902
1628172447,3581275802
1629404827,741936389
1634011224,1600413013
1637039865,4064214056 306958166
1640786388,2153037761
1641960627,514835296
1649320589,2379850649
1651844876,1600413013
1652448351,4201550847
1654935837,480579258
1657497614,3532498989
1662308136,3276213471 1926323783
1663149119,4289083730
1665746866,3764273177
1666085128,4203627753
1666288434,2529072432
1667532620,1860569646
1668335332,2396566946
1669178531,1151525474 3950589515 1407801833
1669357187,767851936 3798981472
1672939792,480036741
1676582816,3849306291
1679420385,3276213471 1600413013 547383999
1680807465,955398943
1696361679,2626540872 719337372 1205670273
1697527574,1076364848
1701323236,462519665 2663748542
1703562892,78018780 2615365977
1703748926,2951156726
1707093494,217634693
1707278925,1297375856
1710009181,4205397757 604068853
1711604959,1061572648 3471887257 2384973677
1716727029,1076364848
1716791097,2655011333
1717882536,2643833505
1720019070,1816813281
1721715566,2979995541
1724694030,2803195749
1725995841,311120320 1056047835
1726345056,4180619444
1728055600,1499252056 1715936677 466507834
1732120655,955398943
1732859563,2529072432
1733709559,3637113727
1735204308,554561877
1737429301,1476967002
1741814612,2153037761 1630022509
1747042580,1642998
1747091728,1205670273
1747471686,3763877798 1750407174 933991919 2205823082
1748492203,959243663 1529554640 3929337192
1754474767,771676713 2643833505 2529072432 955398943
1754904960,1405785624
1757951758,2742796684
1761058217,1488068589
1766663257,3287069160
1767855106,3499428374 955398943
1772941037,2102453106
1774252774,2554554656
1774655165,1820037082
1783276120,1600413013
1785235519,4079544335 821546192
1788141082,3304261393 1940265937
1788256739,1822028766 3150441220 4058829330
1793590520,38211426
1799323346,1023550880 147026651
1800702076,1596190412
1803816912,3368523631 4002607728
1804164018,2479854230
1805025807,1829799030
1808101898,2599698872 1331721799
1809934947,1205670273
1815238419,1426337764
1815721382,955398943
1821206755,2115491671
1821733300,955398943
1823716058,1958147506
1826190863,1325423111
1826584692,2415873572
1829290442,3233958546
1832146052,4205554879 526418317
1833128849,1768663573 1958014037 3682513986 868771423 3441925897 3300815276 622462500 3816177993 1336517851
1834669948,126225732
1838926600,932490169
1842145373,2130616732 907302600 2529072432
1844741381,1600413013 2529072432 955398943
1849546291,1635880727 2529072432
1851530247,1498742095
1856999246,1076364848 268233790
1857390350,719337372 1205670273
1859726822,1600413013 955398943
1865714809,1448086840
1871580056,1076364848
1873687001,2498491194
1875891307,3509100603
1876906939,2155134627
1879459765,3741347786 2367415614 3287340168
1879908611,3808789648
1882344631,627290679 66357203 3174718152 2859386475
1889089758,3731945988
1890732196,2153037761
1895679477,3652056284 345960905 1968459057
1897267951,1159109322
1898427878,1076364848
1906220044,2529072432
1908507314,966971643 404595428
1911617585,2325542576 2806565970
1912059312,3256009463 809450311
1912698965,2311929369 2662111509
1914182220,2901008831 1652875579 3632072502
1917038415,3305669901
1918148274,2213167316
1918945522,1996708167
1923507186,4203627753
1926859556,3827639776
1931485787,4109250236 633659090 3340900766
1931818423,3400311907
1932371532,645128809 2180806657 2198898969
1933513142,476754780
1935452377,1841503354 1333874666 1297375856 154173769 635799819 1260659849
1941314046,3413747696
1946827878,952519340
1948333652,1488068589 635799819
1948945052,602394192
1949443459,1205670273
1951340806,1722911749 1379132639
1952851403,3811447746
1953913885,1951648188
1954193338,2685878625
1954960931,1602227394 2496555402
1955766052,2120836099 3929337192 1896396447 3403115736
1959500556,1600413013
1959680039,2367733143
1964309262,1645370294
1965944390,1418550524
1966851184,2167876034
1967689783,4170145082 1666413374 4249979866 1134231092 2653321720
1967928641,973526380
1974832510,3554433899
1977271538,3354350063 2803195749
1980915793,1276787318
1984545931,2059769837
1985852583,1816813281
1987194661,2559263940
1989811285,588161010 130281276
1990188032,1364538695 169679772
1996678705,3632963428
1997928281,1076364848
2006663136,3802981250
2008761267,1953807601 1412339497
2010045207,221202458
2014445987,241839498
2021435753,1816813281
2022308068,1488068589
2023721073,719337372 955398943
2023976924,1811322299
2024711643,1914806770
2030266367,3597133586 853911830
2031754020,1816813281
2033574675,952519340
2033945746,2692070381 2692654556 3321926072
2034536037,4145779864
2039668267,3123265999 232015242
2040340167,3258819416
2043422334,1894169490
2048999821,326664129
2054531858,1383584914
2054648409,642644408 3190231827 422024082 896485186 2438434714 955398943
2056142684,952519340
2057625114,1766189272 692075109
2059471156,929396784 1205670273
2062768867,3413478237
2062977016,3434717258 3982608480 2130616732
2063287658,2704261655
2063714458,739733335
2068379568,2442660214
2069145631,2916657146
2069512156,2665194430 1472146553
